Rank,Name,Neighborhood,Zoning Type,Plot Size,Building Size,Distance to Ocean,Distance to Bay,Max # of Floors,Min # of Floors,Plot Area (m²),Min Building Height (m),Max Building Height (m),Distance to Ocean (m),Distance to Bay (m)
167,TG-51,Tranquility Gardens,Commercial,Mega,Lowrise,Far,Medium,6,5,6727,28,34,2888,400
167,TG-68,Tranquility Gardens,Commercial,Mega,Lowrise,Far,Medium,4,3,6931,19,23,3200,404
167,TG-569,Tranquility Gardens,Commercial,Mega,Lowrise,Far,Medium,4,3,6889,16,20,2324,404
170,HH-231,Haven Heights,Commercial,Mega,Lowrise,Far,Close,4,3,6666,16,20,2176,114
171,SM-177,Space Mind,Commercial,Mega,Lowrise,Far,Far,4,3,6433,17,21,688,1303
171,SM-226,Space Mind,Commercial,Mega,Lowrise,Far,Far,8,6,6425,32,40,793,1133
171,SM-578,Space Mind,Commercial,Mega,Lowrise,Far,Far,5,4,6395,22,27,751,838
171,SM-591,Space Mind,Commercial,Mega,Lowrise,Far,Far,9,7,7026,39,48,625,889
175,FL-29,Flashing Lights,Mixed Use,Mid,Midrise,Far,Close,27,21,4338,109,136,2005,132
176,NX-19,Nexus,Mixed Use,Mini,Lowrise,Medium,Far,18,14,2758,73,91,301,1124
176,NX-20,Nexus,Mixed Use,Mini,Lowrise,Medium,Far,19,15,2747,76,95,342,1096
178,LM-5,Little Meow,Mixed Use,Mid,Midrise,Far,Close,23,18,4517,94,117,1222,210
179,FL-76,Flashing Lights,Mixed Use,Mid,Midrise,Far,Medium,35,28,3812,142,177,2138,344
179,FL-89,Flashing Lights,Mixed Use,Mid,Midrise,Far,Medium,22,18,4619,91,113,2596,324
179,FL-116,Flashing Lights,Mixed Use,Mid,Midrise,Far,Medium,29,23,3659,117,146,2076,569
179,FL-119,Flashing Lights,Mixed Use,Mid,Midrise,Far,Medium,20,16,3845,82,102,2537,457
179,FL-145,Flashing Lights,Mixed Use,Mid,Midrise,Far,Medium,34,27,4404,138,172,2710,337
184,FL-123,Flashing Lights,Mixed Use,Mid,Midrise,Far,Far,29,23,4051,119,148,1784,735
184,FL-129,Flashing Lights,Mixed Use,Mid,Midrise,Far,Far,23,18,3883,93,116,730,1065
184,FL-136,Flashing Lights,Mixed Use,Mid,Midrise,Far,Far,27,21,4060,109,136,1989,710
187,DZ-17,District ZERO,Mixed Use,Mid,Midrise,Medium,Far,26,21,4788,107,133,492,930
188,SM-484,Space Mind,Mixed Use,Mid,Midrise,Far,Close,28,22,4101,112,140,1769,218
189,NS-856,North Star,Mixed Use,Mid,Midrise,Medium,Far,20,16,4120,80,100,444,881
190,SM-609,Space Mind,Mixed Use,Mid,Midrise,Far,Medium,20,16,4201,84,104,1116,311
191,DZ-137,District ZERO,Mixed Use,Mid,Midrise,Far,Medium,37,29,4270,148,185,1381,458
192,NS-936,North Star,Mixed Use,Mid,Midrise,Far,Close,39,31,3883,157,196,1040,279
193,TG-415,Tranquility Gardens,Mixed Use,Mid,Midrise,Far,Medium,38,31,3603,155,193,4075,449
193,TG-539,Tranquility Gardens,Mixed Use,Mid,Midrise,Far,Medium,25,20,3846,101,126,2952,540
195,SM-590,Space Mind,Mixed Use,Mid,Midrise,Far,Far,23,18,4639,93,116,799,684
196,SM-592,Space Mind,Industrial,Mid,Lowrise,Close,Far,9,7,4052,36,45,212,1439
196,SM-595,Space Mind,Industrial,Mid,Lowrise,Close,Far,7,6,4529,32,39,291,1345
198,DZ-64,District ZERO,Mixed Use,Mid,Midrise,Far,Far,32,25,4786,128,160,1222,609
198,DZ-154,District ZERO,Mixed Use,Mid,Midrise,Far,Far,23,19,3993,96,119,1196,645
198,DZ-171,District ZERO,Mixed Use,Mid,Midrise,Far,Far,20,16,3902,80,100,631,1188
198,DZ-212,District ZERO,Mixed Use,Mid,Midrise,Far,Far,22,17,4067,89,111,1271,827
198,DZ-218,District ZERO,Mixed Use,Mid,Midrise,Far,Far,21,17,4698,86,107,870,1172
203,NS-684,North Star,Mixed Use,Mid,Midrise,Far,Medium,22,17,4371,89,111,1859,474
203,NS-738,North Star,Mixed Use,Mid,Midrise,Far,Medium,25,20,4175,100,125,1334,554
203,NS-881,North Star,Mixed Use,Mid,Midrise,Far,Medium,26,21,4284,105,131,907,422
203,NS-938,North Star,Mixed Use,Mid,Midrise,Far,Medium,28,22,3883,112,140,939,381
207,NX-24,Nexus,Industrial,Mini,Lowrise,Far,Far,9,7,2414,39,48,826,884
207,NX-25,Nexus,Industrial,Mini,Lowrise,Far,Far,8,6,3433,33,41,789,928
209,FL-28,Flashing Lights,Mixed Use,Macro,Lowrise,Far,Close,18,15,5659,76,94,2094,137
209,FL-202,Flashing Lights,Mixed Use,Macro,Lowrise,Far,Close,18,14,4874,74,92,2589,139
211,FL-15,Flashing Lights,Mixed Use,Mini,Midrise,Medium,Far,31,25,2688,125,156,348,1016
211,FL-16,Flashing Lights,Mixed Use,Mini,Midrise,Medium,Far,30,24,2680,122,152,311,1047
211,FL-67,Flashing Lights,Mixed Use,Mini,Midrise,Medium,Far,22,18,2543,91,113,307,1367
214,FL-5,Flashing Lights,Mixed Use,Mini,Midrise,Far,Close,28,22,3456,112,140,1178,231
214,FL-33,Flashing Lights,Mixed Use,Mini,Midrise,Far,Close,33,27,2962,136,169,1409,254
214,FL-204,Flashing Lights,Mixed Use,Mini,Midrise,Far,Close,21,17,2687,87,108,2135,131
214,FL-216,Flashing Lights,Mixed Use,Mini,Midrise,Far,Close,27,21,3473,108,135,3464,122
218,FL-44,Flashing Lights,Mixed Use,Macro,Lowrise,Far,Medium,11,9,5108,48,59,1228,394
219,FL-83,Flashing Lights,Mixed Use,Mini,Midrise,Far,Medium,20,16,3427,82,102,1997,510
219,FL-96,Flashing Lights,Mixed Use,Mini,Midrise,Far,Medium,37,29,3394,148,185,1933,590
219,FL-101,Flashing Lights,Mixed Use,Mini,Midrise,Far,Medium,38,30,2455,152,190,2441,384
219,FL-103,Flashing Lights,Mixed Use,Mini,Midrise,Far,Medium,39,31,3216,157,196,2751,311
219,FL-170,Flashing Lights,Mixed Use,Mini,Midrise,Far,Medium,20,16,2559,84,104,2379,469
224,FL-73,Flashing Lights,Mixed Use,Macro,Lowrise,Far,Far,15,12,4949,63,78,1517,714
224,FL-160,Flashing Lights,Mixed Use,Macro,Lowrise,Far,Far,19,15,5356,78,97,707,994
226,SM-589,Space Mind,Mixed Use,Mini,Lowrise,Close,Far,19,16,3142,80,99,187,1481
227,FL-49,Flashing Lights,Mixed Use,Mini,Midrise,Far,Far,28,22,2889,112,140,647,927
227,FL-61,Flashing Lights,Mixed Use,Mini,Midrise,Far,Far,25,20,3458,101,126,1795,619
227,FL-69,Flashing Lights,Mixed Use,Mini,Midrise,Far,Far,21,17,3543,85,106,1857,605
227,FL-100,Flashing Lights,Mixed Use,Mini,Midrise,Far,Far,26,20,3177,104,130,730,1173
227,FL-108,Flashing Lights,Mixed Use,Mini,Midrise,Far,Far,33,26,2456,134,167,1844,710
227,FL-147,Flashing Lights,Mixed Use,Mini,Midrise,Far,Far,36,29,2938,146,182,2287,630
233,NX-21,Nexus,Commercial,Mini,Lowrise,Far,Medium,3,2,2716,13,16,1624,302
234,NX-41,Nexus,Commercial,Mini,Lowrise,Far,Far,5,4,3127,21,26,720,1043
235,FL-60,Flashing Lights,Mixed Use,Micro,Midrise,Medium,Far,34,28,2256,140,174,429,1214
235,FL-111,Flashing Lights,Mixed Use,Micro,Midrise,Medium,Far,23,18,2045,94,117,418,1404
235,FL-156,Flashing Lights,Mixed Use,Micro,Midrise,Medium,Far,26,21,2026,105,131,308,1383
238,NX-8,Nexus,Commercial,Micro,Lowrise,Medium,Far,4,3,1375,19,23,376,982
238,NX-16,Nexus,Commercial,Micro,Lowrise,Medium,Far,4,3,1516,16,20,323,1043
240,NX-59,Nexus,Commercial,Nano,Lowrise,Medium,Far,4,3,969,18,22,331,1418
240,NX-60,Nexus,Commercial,Nano,Lowrise,Medium,Far,5,4,765,20,25,423,1378
240,NX-64,Nexus,Commercial,Nano,Lowrise,Medium,Far,8,6,1059,34,42,346,1439
243,FL-150,Flashing Lights,Mixed Use,Micro,Midrise,Far,Medium,23,19,2263,96,119,1780,575
244,FL-55,Flashing Lights,Mixed Use,Micro,Midrise,Far,Far,23,18,2044,94,117,952,761
245,NX-6,Nexus,Residential,Micro,Lowrise,Medium,Far,8,6,1963,33,41,372,1034
245,NX-7,Nexus,Residential,Micro,Lowrise,Medium,Far,17,14,2057,72,89,338,1068
245,NX-9,Nexus,Residential,Micro,Lowrise,Medium,Far,7,6,1482,31,38,349,1009
245,NX-10,Nexus,Residential,Micro,Lowrise,Medium,Far,5,4,1482,21,26,322,1036
245,NX-14,Nexus,Residential,Micro,Lowrise,Medium,Far,4,3,1402,16,20,377,989
245,NX-15,Nexus,Residential,Micro,Lowrise,Medium,Far,4,3,1514,19,23,350,1015
245,NX-56,Nexus,Residential,Micro,Lowrise,Medium,Far,4,3,1361,17,21,415,1350
252,FL-203,Flashing Lights,Industrial,Macro,Lowrise,Far,Close,8,6,4878,33,41,2082,186
252,FL-260,Flashing Lights,Industrial,Macro,Lowrise,Far,Close,15,12,5891,64,79,2897,140
254,TG-29,Tranquility Gardens,Mixed Use,Macro,Lowrise,Far,Close,18,14,5215,72,90,4695,153
255,DZ-51,District ZERO,Mixed Use,Mini,Midrise,Medium,Far,20,16,3042,83,103,452,1241
256,LM-2,Little Meow,Industrial,Macro,Lowrise,Medium,Far,9,7,5627,36,45,498,927
257,NX-33,Nexus,Commercial,Micro,Lowrise,Far,Medium,5,4,1212,21,26,1419,590
258,SM-305,Space Mind,Mixed Use,Mini,Midrise,Far,Close,38,31,3071,155,193,1841,137
259,NX-57,Nexus,Residential,Nano,Lowrise,Medium,Far,4,3,1077,18,22,390,1369
259,NX-58,Nexus,Residential,Nano,Lowrise,Medium,Far,4,4,1076,20,24,350,1402
259,NX-61,Nexus,Residential,Nano,Lowrise,Medium,Far,4,3,1070,16,20,406,1392
259,NX-62,Nexus,Residential,Nano,Lowrise,Medium,Far,4,3,1066,18,22,386,1407
259,NX-63,Nexus,Residential,Nano,Lowrise,Medium,Far,7,6,1062,31,38,366,1423
259,NX-65,Nexus,Residential,Nano,Lowrise,Medium,Far,4,3,951,18,22,327,1454
265,TG-15,Tranquility Gardens,Mixed Use,Mini,Midrise,Far,Close,22,18,3458,91,113,4716,133
266,DZ-648,District ZERO,Industrial,Mini,Lowrise,Close,Close,8,6,2614,32,40,227,174
267,NX-26,Nexus,Commercial,Nano,Lowrise,Far,Medium,4,3,1056,16,20,1766,511
267,NX-30,Nexus,Commercial,Nano,Lowrise,Far,Medium,4,3,1175,17,21,1482,567
